NEXT;FNEXT;SNEXT;GNEXT;Waju;
Cannot save the configuration signature;FCannot save the configuration signature;SCannot save the configuration signature;GCannot save the configuration signature;Mi o ri kokoro idanimo iwe ile ise fi pamo;
Press Cancel to Abort;FPress Cancel to Abort;SPress Cancel to Abort;GPress Cancel to Abort;Te Kansu lati pada;
All keys injected Succesfully;fAll keys injected Succesfully;SAll keys injected Succesfully;GAll keys injected Succesfully;A ti te kokoro wole laisi wahala;
Downloading Kernel..;FDownloading Kernel..;SDownloading Kernel..;GDownloading Kernel..;Mo n gba anjonu lowo;
Signature Failure;FSignature Failure;SSignature Failure;GSignature Failure;Mi o ri ami idanimo;
Bad key download result;FBad key download result;SBad key download result;GBad key download result;Esi kokoro gbiba yii koda;
Size;FSize;SSize;GSize;Iye;
Kernel download failure;FKernel download failure;SKernel download failure;GKernel download failure;Mi o ri anjonu gba;
Cannot Verify Terminal;FCannot Verify Terminal;SCannot Verify Terminal;GCannot Verify Terminal;Mi o ri tamina ni ojulowo;
Terminal succesfully installed;FTerminal succesfully installed;STerminal succesfully installed;GTerminal succesfully installed;A ti ri tamina yii ni ojulowo;
Summary;FSummary;SSummary;GSummary;Lakotan;
Total Approved Amount;FTotal Approved Amount;STotal Approved Amount;GTotal Amount;Iye to pa;
Biometric Initialization Failure;FBiometric Initialization Failure;SBiometric Initialization Failure;GBiometric Initialization Failure;Mi o ri biometric ji;
Biometric Open Failure;FBiometric Open Failure;SBiometric Open Failure;GBiometric Open Failure;Mi o ri biometric si;
Please place your finger when you see the red light;FPlease place your finger when you see the red light;SPlease place your finger when you see the red light;GPlease place your finger when you see the red light;E fi owo yin si ti eba ti ri ina pupa;
Enrollment failed;FEnrollment failed;SEnrollment failed;GEnrollment failed;Mi o ri owo ka;
Enrollment done;FEnrollment done;SEnrollment done;GEnrollment done;Mo ti ka owo;
Verification failure;FVerification failure;SVerification failure;GVerification failure;Owo kana ko;
Verification succesfull;FVerification succesfull;SVerification succesfull;GVerification succesfull;Owo kana ni;
Initializing the fingerprint reader;FInitializing the fingerprint reader;SInitializing the fingerprint reader;GInitializing the fingerprint reader;Mo n tan akateleowo;
Total Failed Transaction;FTotal Failed Transaction;STotal Failed Transaction;GTotal Failed Transaction;Iye oja ti ko ta;
Total Passed Transaction;FTotal Passed Transaction;STotal Passed Transaction;GTotal Passed Transaction;Iye oja ti o ta;
Total Transaction;FTotal Transaction;STotal Transaction;GTotal Transaction;Iye Oja;
All;FAll;SAll;GAll;Gbogbo;
File to browse not found;FFile to browse not found;SFile to browse not found;GFile to browse not found;Mi o ri iwe ti mo ma ka;
Please Enter;FPlease Enter;SPlease Enter;GPlease Enter;Ejo e te;
Card Not Inserted;FCard Not Inserted;SCard Not Inserted;GCard Not Inserted;A ko ri kaadi ni kolo;
Insert Card and press OK;FInsert Card and press OK;SInsert Card and press OK;GInsert Card and press OK;Te kaadi wo kolo ki o si te enta;
Bio manager not found on card;FBio manager not found on card;SBio manager not found on card;GBio manager not found on card;A ko ri akopamo lori kaadi yii;
Matching...;FMatching...;SMatching...;GMatching...;Mo n wa..;
Archiving;FArchiving;SArchiving;GArchiving;Mo n de;
Awaiting Command;FWaiting for command;SWaiting for command;GWaiting for command;Mo n duro de komandi;
Time;FTime;STime;GTime;Asiko;
Before;FBefore;SBefore;GBefore;Tele;
Later;FLater;SLater;GLater;Toya;
ID Store not found;FID Store not found;SID Store not found;GID Store not found;Mi o ri ID Store;
